name;image;description;positions;known_for
 Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_UX214_CR0,0,214,317_AL_.jpg;LaKeith Lee Stanfield is an actor and rapper from Victorville, California. At the age of fifteen, LaKeith began attending the John Casablancas Modeling & Career Center in Orange County. A few years later, he auditioned for Destin Cretton's then college thesis film Short Term 12 (2008). Later, the newer version of Las vidas de Grace (2013) marked LaKeith's debut as a professional actor. Subsequently, he landed a role in the Martin Luther King biopic, Selma (2014), and has since starred in Get Out (2017), Knives Out (2019), The Photograph (2020), and the series Atlanta on FX.;Actor | Producer | Soundtrack;Perdona que te moleste
 Lakeith Stanfield;https://m.media-amazon.com/images/M/MV5BMTU3NTg3MTc5NV5BMl5BanBnXkFtZTgwNzUzMzg1MzI@._V1_UX214_CR0,0,214,317_AL_.jpg;LaKeith Lee Stanfield is an actor and rapper from Victorville, California. At the age of fifteen, LaKeith began attending the John Casablancas Modeling & Career Center in Orange County. A few years later, he auditioned for Destin Cretton's then college thesis film Short Term 12 (2008). Later, the newer version of Las vidas de Grace (2013) marked LaKeith's debut as a professional actor. Subsequently, he landed a role in the Martin Luther King biopic, Selma (2014), and has since starred in Get Out (2017), Knives Out (2019), The Photograph (2020), and the series Atlanta on FX.;Actor | Producer | Soundtrack;Cassius Green
 Nick Swardson;https://m.media-amazon.com/images/M/MV5BMjQ5NDYzMTM5Nl5BMl5BanBnXkFtZTcwNjM0NDkwNg@@._V1_UX214_CR0,0,214,317_AL_.jpg;Nick Swardson was born on October 9, 1976 in Minneapolis, Minnesota, USA. He is an actor and writer, known for Play Boy: el rey del mando (2006), Los calientabanquillos (2006) and Sígueme el rollo (2011).;Actor | Writer | Producer;Play Boy: el rey del mando
 Nick Swardson;https://m.media-amazon.com/images/M/MV5BMjQ5NDYzMTM5Nl5BMl5BanBnXkFtZTcwNjM0NDkwNg@@._V1_UX214_CR0,0,214,317_AL_.jpg;Nick Swardson was born on October 9, 1976 in Minneapolis, Minnesota, USA. He is an actor and writer, known for Play Boy: el rey del mando (2006), Los calientabanquillos (2006) and Sígueme el rollo (2011).;Actor | Writer | Producer;Jeff
 Keegan-Michael Key;https://m.media-amazon.com/images/M/MV5BZmI1MDdjZTAtMzBiMy00M2Q2LTk5YjAtOWJkMGYwODE2OGViXkEyXkFqcGdeQXVyNzMxMTU2Mg@@._V1_UY317_CR13,0,214,317_AL_.jpg;Keegan-Michael Key was born in Southfield, Michigan and raised in Detroit. He was adopted as a child by a black father and a white mother. In 1989, he graduated from Shrine Catholic High School in Royal Oak, Michigan. Key attended the University of Detroit Mercy as an undergraduate and earned his Master of Fine Arts in Theater at Pennsylvania State University. While at The University of Detroit Mercy, he was a brother of Phi Kappa Theta.;Actor | Writer | Producer;Keanu
 Keegan-Michael Key;https://m.media-amazon.com/images/M/MV5BZmI1MDdjZTAtMzBiMy00M2Q2LTk5YjAtOWJkMGYwODE2OGViXkEyXkFqcGdeQXVyNzMxMTU2Mg@@._V1_UY317_CR13,0,214,317_AL_.jpg;Keegan-Michael Key was born in Southfield, Michigan and raised in Detroit. He was adopted as a child by a black father and a white mother. In 1989, he graduated from Shrine Catholic High School in Royal Oak, Michigan. Key attended the University of Detroit Mercy as an undergraduate and earned his Master of Fine Arts in Theater at Pennsylvania State University. While at The University of Detroit Mercy, he was a brother of Phi Kappa Theta.;Actor | Writer | Producer;Clarence Goobril / Smoke Dresden
 Rob Schneider;https://m.media-amazon.com/images/M/MV5BMTg0MDE4MTE0MF5BMl5BanBnXkFtZTcwOTYyOTM3MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg;"Robert Michael ""Rob"" Schneider (born October 31, 1963) is an American actor, comedian, screenwriter, and director. A stand-up comic and veteran of the NBC sketch comedy series Saturday Night Live (1975), Schneider has gone on to a successful career in feature films, including starring roles in the comedy films Gigoló (1999), ¡Este cuerpo no es el mío! (2002), and Niños grandes (2010).";Actor | Writer | Producer;Gigoló
 Rob Schneider;https://m.media-amazon.com/images/M/MV5BMTg0MDE4MTE0MF5BMl5BanBnXkFtZTcwOTYyOTM3MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg;"Robert Michael ""Rob"" Schneider (born October 31, 1963) is an American actor, comedian, screenwriter, and director. A stand-up comic and veteran of the NBC sketch comedy series Saturday Night Live (1975), Schneider has gone on to a successful career in feature films, including starring roles in the comedy films Gigoló (1999), ¡Este cuerpo no es el mío! (2002), and Niños grandes (2010).";Actor | Writer | Producer;Deuce Bigalow
 Robbie Amell;https://m.media-amazon.com/images/M/MV5BMjE2OTMyMDM2Ml5BMl5BanBnXkFtZTgwNDAyMjU4NzE@._V1_UY317_CR5,0,214,317_AL_.jpg;"Along with his sister, Robbie Amell started acting when he was just six years old. At sixteen, he started to land theater roles at Lawrence Park Stage in plays such as Louis and Dave, Picasso at the Lapin Agile and The Importance of Being Earnest. The experience brought Robbie to realize that he wanted to pursue a career in acting. Shortly after choosing to follow acting, he booked the part of Daniel Murtaugh in the major motion picture Cheaper by the Dozen 2, headed by names such as Steve Martin, Bonnie Hunt, Hilary Duff, Tom Welling and - of whom he played the son - Eugene Levy and Carmen Electra.

Robbie was born in Toronto, Ontario, Canada, to Jo (Burden) and Rob Amell, who work in custom jewelry. His first cousin is actor Stephen Amell. As it seems is the habit of Canadians, Robbie has played hockey since he was a child. He also takes Muay Thai and break dancing lessons.";Actor | Producer;Upload
 Robbie Amell;https://m.media-amazon.com/images/M/MV5BMjE2OTMyMDM2Ml5BMl5BanBnXkFtZTgwNDAyMjU4NzE@._V1_UY317_CR5,0,214,317_AL_.jpg;"Along with his sister, Robbie Amell started acting when he was just six years old. At sixteen, he started to land theater roles at Lawrence Park Stage in plays such as Louis and Dave, Picasso at the Lapin Agile and The Importance of Being Earnest. The experience brought Robbie to realize that he wanted to pursue a career in acting. Shortly after choosing to follow acting, he booked the part of Daniel Murtaugh in the major motion picture Cheaper by the Dozen 2, headed by names such as Steve Martin, Bonnie Hunt, Hilary Duff, Tom Welling and - of whom he played the son - Eugene Levy and Carmen Electra.

Robbie was born in Toronto, Ontario, Canada, to Jo (Burden) and Rob Amell, who work in custom jewelry. His first cousin is actor Stephen Amell. As it seems is the habit of Canadians, Robbie has played hockey since he was a child. He also takes Muay Thai and break dancing lessons.";Actor | Producer;Nathan Brown
